Sale_ID,Month,Country_Code,Model,Segment,Sales_Units,Listed_Price_INR,Rating_Out_of_5,Discount_Amount_INR,Final_Price_INR
IN001,Dec_2025,IN,Hondu Activaa 125,Scooter,181604,92400.0,4.3,3900.0,88500.0
IN002,Dec_2025,IN,Hondu Diyo 110,Scooter,18609,85700.0,4.2,3100.0,82600.0
IN003,Dec_2025,IN,Hondu Shiny 125,Commuter Bike,125266,85600.0,4.1,2900.0,82700.0
IN004,Dec_2025,IN,Hondu Unicod 160,Commuter Bike,33640,120200.0,4.1,6400.0,113800.0
IN005,Dec_2025,IN,Hondu Highness 350,Premium Bike,2560,224400.0,4.7,9800.0,214600.0
IN006,Jan_2026,IN,Hondu Activaa 125,Scooter,271924,90100.0,4.4,3100.0,87000.0
IN007,Jan_2026,IN,Hondu Diyo 110,Scooter,25462,86800.0,4.1,5600.0,81200.0
IN008,Jan_2026,IN,Hondu Shiny 125,Commuter Bike,135076,92300.0,4.1,3500.0,88800.0
IN009,Jan_2026,IN,Hondu Unicod 160,Commuter Bike,35710,125000.0,4.2,5300.0,119700.0
IN010,Jan_2026,IN,Hondu Highness 350,Premium Bike,7802,222300.0,4.5,13500.0,208800.0
IN011,Feb_2026,IN,Hondu Activaa 125,Scooter,254449,90000.0,4.3,3400.0,86600.0
IN012,Feb_2026,IN,Hondu Diyo 110,Scooter,28227,81900.0,4.3,5600.0,76300.0
IN013,Feb_2026,IN,Hondu Shiny 125,Commuter Bike,138438,87000.0,4.3,3800.0,83200.0
IN014,Feb_2026,IN,Hondu Unicod 160,Commuter Bike,36317,117700.0,4.4,2700.0,115000.0
IN015,Feb_2026,IN,Hondu Highness 350,Premium Bike,4099,221000.0,4.5,12600.0,208400.0
IN016,Mar_2026,IN,Hondu Activaa 125,Scooter,259670,93400.0,4.3,5400.0,88000.0
IN017,Mar_2026,IN,Hondu Diyo 110,Scooter,31180,82800.0,4.1,4800.0,78000.0
IN018,Mar_2026,IN,Hondu Shiny 125,Commuter Bike,146657,88700.0,4.4,3200.0,85500.0
IN019,Mar_2026,IN,Hondu Unicod 160,Commuter Bike,34358,124700.0,4.2,6600.0,118100.0
IN020,Mar_2026,IN,Hondu Highness 350,Premium Bike,6888,225800.0,4.4,10600.0,215200.0
IN021,Apr_2026,IN,Hondu Activaa 125,Scooter,220774,94100.0,4.5,3800.0,90300.0
IN022,Apr_2026,IN,Hondu Diyo 110,Scooter,27083,88200.0,3.9,4000.0,84200.0
IN023,Apr_2026,IN,Hondu Shiny 125,Commuter Bike,168636,94700.0,3.9,5000.0,89700.0
IN024,Apr_2026,IN,Hondu Unicod 160,Commuter Bike,39310,119600.0,4.1,2700.0,116900.0
IN025,Apr_2026,IN,Hondu Highness 350,Premium Bike,6080,224500.0,4.3,9700.0,214800.0
IN026,May_2026,IN,Hondu Activaa 125,Scooter,228955,94500.0,4.6,4600.0,89900.0
IN027,May_2026,IN,Hondu Diyo 110,Scooter,23814,89200.0,4.2,5300.0,83900.0
IN028,May_2026,IN,Hondu Shiny 125,Commuter Bike,140901,94900.0,4.3,2500.0,92400.0
IN029,May_2026,IN,Hondu Unicod 160,Commuter Bike,34925,129000.0,4.3,5600.0,123400.0
IN030,May_2026,IN,Hondu Highness 350,Premium Bike,6306,227600.0,4.5,10900.0,216700.0
PK001,Dec_2025,PK,Hondu Activaa 125,Scooter,9901,145140.0,4.5,9434.1,135705.9
PK002,Dec_2025,PK,Hondu Diyo 110,Scooter,943,136260.0,3.9,12127.14,124132.86
PK003,Dec_2025,PK,Hondu Shiny 125,Commuter Bike,6132,135690.0,4.4,9905.37,125784.63
PK004,Dec_2025,PK,Hondu Unicod 160,Commuter Bike,2593,184050.0,4.5,9570.6,174479.4
PK005,Dec_2025,PK,Hondu Highness 350,Premium Bike,148,362520.0,4.4,23563.8,338956.2
PK006,Jan_2026,PK,Hondu Activaa 125,Scooter,12556,137520.0,4.3,12376.8,125143.2
PK007,Jan_2026,PK,Hondu Diyo 110,Scooter,1820,127230.0,4.1,11450.7,115779.3
